CVE,Type,Severity,Updated_AOSP_versions,CVE_Classification,bulletin,Updated_Devices
CVE-2019-9247,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9282,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9293,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9294,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9313,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9314,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9315,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9316,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9317,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9318,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9319,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9320,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9321,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9322,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9325,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9334,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9335,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9336,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9337,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9338,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9347,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9359,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9361,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9362,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9364,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9366,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9370,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9406,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9408,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9409,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9410,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9411,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9412,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9415,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9416,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9433,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9252,N/A,ID,N/A,Media framework,android-10.txt,
CVE-2019-9268,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9283,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9348,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9349,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9352,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9371,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9379,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9418,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9420,N/A,DoS,N/A,Media framework,android-10.txt,
CVE-2019-9363,N/A,RCE,N/A,System,android-10.txt,
CVE-2019-9365,N/A,RCE,N/A,System,android-10.txt,
CVE-2018-9425,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9463,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9291,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9386,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9375,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9238,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9257,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9258,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9259,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9263,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9266,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9295,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9309,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9350,N/A,EoP,N/A,System,android-10.txt,
CVE-2019-9358,N/A,EoP,N/A,System,android-10.txt,
CVE-2018-9489,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9440,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9277,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9233,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9234,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9235,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9236,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9237,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9239,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9240,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9241,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9242,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9243,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9244,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9246,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9249,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9250,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9251,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9253,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9260,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9265,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9272,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9284,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9287,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9289,N/A,ID,N/A,System,android-10.txt,
CVE-2018-9581,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9296,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9312,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9326,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9328,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9329,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9332,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9333,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9344,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9353,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9354,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9355,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9356,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9360,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9368,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9369,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9381,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9383,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9387,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9388,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9403,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9414,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9427,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9431,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9432,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9434,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9435,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9330,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9331,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9341,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9342,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9343,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9367,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9413,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9417,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9419,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9422,N/A,ID,N/A,System,android-10.txt,
CVE-2019-9279,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9285,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9286,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9311,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9327,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9462,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9389,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9390,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9393,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9394,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9395,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9396,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9397,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9398,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9400,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9401,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9402,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9404,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9425,N/A,DoS,N/A,System,android-10.txt,
CVE-2019-9430,N/A,DoS,N/A,System,android-10.txt,
CVE-2017-0830,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Framework,2017-11-01.txt,
CVE-2017-0831,EoP,High,8.0,Framework,2017-11-01.txt,
CVE-2017-0832,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-11-01.txt,
CVE-2017-0833,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-11-01.txt,
CVE-2017-0834,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-11-01.txt,
CVE-2017-0835,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-11-01.txt,
CVE-2017-0836,RCE,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-11-01.txt,
CVE-2017-0839,ID,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-11-01.txt,
CVE-2017-0840,ID,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",Media framework,2017-11-01.txt,
CVE-2017-0841,RCE,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",System,2017-11-01.txt,
CVE-2017-0842,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",System,2017-11-01.txt,
CVE-2018-9490,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-10-01.txt,
CVE-2018-9491,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-10-01.txt,
CVE-2018-9492,EoP,High,"8.0, 8.1, 9",Framework,2018-10-01.txt,
CVE-2018-9493,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-10-01.txt,
CVE-2018-9452,DoS,Moderate,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2018-10-01.txt,
CVE-2018-9473,RCE,Critical,8.0,Media framework,2018-10-01.txt,
CVE-2018-9496,RCE,Critical,9,Media framework,2018-10-01.txt,
CVE-2018-9497,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2018-10-01.txt,
CVE-2018-9498,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-10-01.txt,
CVE-2018-9499,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2018-10-01.txt,
CVE-2017-13283,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9476,EoP,Critical,"8.0, 8.1",System,2018-10-01.txt,
CVE-2018-9504,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9501,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9502,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9503,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9505,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9506,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9507,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9508,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",System,2018-10-01.txt,
CVE-2018-9509,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9510,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2018-10-01.txt,
CVE-2018-9511,DoS,High,9,System,2018-10-01.txt,
CVE-2017-13228,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-02-01.txt,
CVE-2017-13231,EoP,High,"8.0, 8.1",Media framework,2018-02-01.txt,
CVE-2017-13232,ID,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-02-01.txt,
CVE-2017-13230,DoS,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-02-01.txt,
CVE-2017-13230,RCE,Critical,"5.1.1, 6.0, 6.0.1",Media framework,2018-02-01.txt,
CVE-2017-13233,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-02-01.txt,
CVE-2017-13234,DoS,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",Media framework,2018-02-01.txt,
CVE-2017-13236,EoP,Moderate,"8.0, 8.1",System,2018-02-01.txt,
CVE-2015-3873,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3873,N/A,Critical,5.0 and 5.1,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3823,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-6600,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-6601,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3869,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3870,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3871,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3868,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-6604,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3867,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-6603,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3876,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-6598,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3872,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-6599,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libstagefright,2015-10-01.txt,
CVE-2015-3874,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in Sonivox,2015-10-01.txt,
CVE-2015-3875,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libutils ,2015-10-01.txt,
CVE-2015-6602,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libutils ,2015-10-01.txt,
CVE-2015-3877,N/A,Critical,5.1 and below,Remote Code Execution Vulnerability in Skia,2015-10-01.txt,
CVE-2014-9028,N/A,Critical,5.1 and below,Remote Code Execution Vulnerabilities in libFLAC,2015-10-01.txt,
CVE-2015-3863,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in KeyStore,2015-10-01.txt,
CVE-2015-3879,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in Media Player Framework,2015-10-01.txt,
CVE-2015-3865,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in Android Runtime,2015-10-01.txt,
CVE-2015-6596,N/A,High,5.1 and below,Elevation of Privilege Vulnerabilities in Mediaserver,2015-10-01.txt,
CVE-2015-6596,N/A,High,5.0 - 6.0,Elevation of Privilege Vulnerabilities in Mediaserver,2015-10-01.txt,
CVE-2015-6606,N/A,High,5.1 and below,Elevation of Privilege Vulnerability in Secure Element Evaluation Kit,2015-10-01.txt,
CVE-2015-3878,N/A,Moderate,5.0 - 6.0,Elevation of Privilege Vulnerability in Media Projection,2015-10-01.txt,
CVE-2015-3847,N/A,Moderate,5.1 and below,Elevation of Privilege Vulnerability in Bluetooth,2015-10-01.txt,
CVE-2015-6607,N/A,Moderate, 5.1 and below,Elevation of Privilege Vulnerabilities in SQLite,2015-10-01.txt,
CVE-2015-6605,N/A,Low,5.1 and below,Denial of Service Vulnerabilities in Mediaserver,2015-10-01.txt,
CVE-2015-6605,N/A,Low,5.0 - 6.0,Denial of Service Vulnerabilities in Mediaserver,2015-10-01.txt,
CVE-2015-3862,N/A,Low,5.1 and below,Denial of Service Vulnerabilities in Mediaserver,2015-10-01.txt,
CVE-2019-2026,EoP,High,8.0,Framework,2019-04-01.txt,
CVE-2019-2027,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-04-01.txt,
CVE-2019-2028,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-04-01.txt,
CVE-2019-2030,EoP,High,9,System,2019-04-01.txt,
CVE-2019-2031,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-04-01.txt,
CVE-2019-2033,EoP,High,9,System,2019-04-01.txt,
CVE-2019-2034,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-04-01.txt,
CVE-2019-2035,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-04-01.txt,
CVE-2019-2038,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-04-01.txt,
CVE-2019-2039,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-04-01.txt,
CVE-2019-2040,ID,High,9,System,2019-04-01.txt,
CVE-2016-2431,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm TrustZone ,2016-05-01.txt,"MODEL:Nexus 5, Nexus 6, Nexus 7 (2013), Android One"
CVE-2016-2432,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm TrustZone ,2016-05-01.txt,"MODEL:Nexus 6, Android One"
CVE-2015-0569,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-05-01.txt,"MODEL:Nexus 5X, Nexus 7 (2013)"
CVE-2015-0570,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-05-01.txt,"MODEL:Nexus 5X, Nexus 7 (2013)"
CVE-2016-2434,N/A,Critical,N/A,Elevation of Privilege Vulnerability in NVIDIA Video Driver,2016-05-01.txt,MODEL:Nexus 9
CVE-2016-2435,N/A,Critical,N/A,Elevation of Privilege Vulnerability in NVIDIA Video Driver,2016-05-01.txt,MODEL:Nexus 9
CVE-2016-2436,N/A,Critical,N/A,Elevation of Privilege Vulnerability in NVIDIA Video Driver,2016-05-01.txt,MODEL:Nexus 9
CVE-2016-2437,N/A,Critical,N/A,Elevation of Privilege Vulnerability in NVIDIA Video Driver,2016-05-01.txt,MODEL:Nexus 9
CVE-2015-1805,N/A,Critical,N/A,Elevation of Privilege Vulnerability in Kernel,2016-05-01.txt,"MODEL:Nexus 5, Nexus 5X, Nexus 6, Nexus 6P, Nexus 7 (2013), Nexus 9"
CVE-2016-2438,N/A,High,N/A,Remote Code Execution Vulnerability in Kernel,2016-05-01.txt,MODEL:Nexus 9 
CVE-2016-2060,N/A,High,N/A,Information Disclosure Vulnerability in Qualcomm Tethering Controller,2016-05-01.txt,MODEL:None
CVE-2016-2441,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Buspm Driver,2016-05-01.txt,"MODEL:Nexus 5X, Nexus 6, Nexus 6P"
CVE-2016-2442,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Buspm Driver,2016-05-01.txt,"MODEL:Nexus 5X, Nexus 6, Nexus 6P"
CVE-2016-2443,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm MDP Driver,2016-05-01.txt,"MODEL:Nexus 5, Nexus 7 (2013)"
CVE-2015-0571,N/A,High,N/A,Elevation of Privilege Vulnerability in Qualcomm Wi-Fi Driver,2016-05-01.txt,"MODEL:Nexus 5X, Nexus 7 (2013)"
CVE-2016-2444,N/A,High,N/A,Elevation of Privilege Vulnerability in NVIDIA Video Driver,2016-05-01.txt,MODEL:Nexus 9
CVE-2016-2445,N/A,High,N/A,Elevation of Privilege Vulnerability in NVIDIA Video Driver,2016-05-01.txt,MODEL:Nexus 9
CVE-2016-2446,N/A,High,N/A,Elevation of Privilege Vulnerability in NVIDIA Video Driver,2016-05-01.txt,MODEL:Nexus 9
CVE-2016-2453,N/A,High,N/A,Elevation of Privilege Vulnerability in MediaTek Wi-Fi Driver,2016-05-01.txt,MODEL:Android One
CVE-2016-2454,N/A,High,N/A,Remote Denial of Service Vulnerability in Qualcomm Hardware Codec,2016-05-01.txt,MODEL:Nexus 5
CVE-2016-2456,N/A,Moderate,N/A,Elevation of Privilege Vulnerability in MediaTek Wi-Fi Driver,2016-05-01.txt,MODEL:Android One
CVE-2016-0774,N/A,Low,N/A,Denial of Service Vulnerability in Kernel,2016-05-01.txt,MODEL:All Nexus
CVE-2019-2120,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Android runtime,2019-08-01.txt,
CVE-2019-2121,EoP,High,9,Framework,2019-08-01.txt,
CVE-2019-2122,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-08-01.txt,
CVE-2019-2125,EoP,Moderate,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Framework,2019-08-01.txt,
CVE-2019-2126,RCE,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-08-01.txt,
CVE-2019-2128,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-08-01.txt,
CVE-2019-2129,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",Media framework,2019-08-01.txt,
CVE-2019-2130,RCE,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-08-01.txt,
CVE-2019-2131,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-08-01.txt,
CVE-2019-2132,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-08-01.txt,
CVE-2019-2133,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-08-01.txt,
CVE-2019-2134,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-08-01.txt,
CVE-2019-2135,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-08-01.txt,
CVE-2019-2136,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",System,2019-08-01.txt,
CVE-2019-2137,DoS,High,9,System,2019-08-01.txt,
CVE-2017-3544,RCE,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Runtime,2017-07-01.txt,
CVE-2017-0664,EoP,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-07-01.txt,
CVE-2017-0665,EoP,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-07-01.txt,
CVE-2017-0666,EoP,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-07-01.txt,
CVE-2017-0667,EoP,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-07-01.txt,
CVE-2017-0668,ID,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-07-01.txt,
CVE-2017-0669,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-07-01.txt,
CVE-2017-0670,DoS,High,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Framework,2017-07-01.txt,
CVE-2017-0671,RCE,High,4.4.4,Libraries,2017-07-01.txt,
CVE-2016-2109,DoS,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Libraries,2017-07-01.txt,
CVE-2017-0672,DoS,High,"7.0, 7.1.1, 7.1.2",Libraries,2017-07-01.txt,
CVE-2017-0540,RCE,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0673,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0674,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0675,RCE,Critical,"6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0676,RCE,Critical,"5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0677,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0678,RCE,Critical,"7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0679,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0680,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0681,RCE,Critical,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
CVE-2017-0682,RCE,High,"7.0, 7.1.1, 7.1.2",Media framework,2017-07-01.txt,
